,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
5/1/2011,,11172.1,11196.2,,6088.8,6101.1,,5083.3,5095.1,,7836.7,7830.8,,5098,5090.4,,2738.6,2740.4,,3335.4,3365.4,,990.8,1010.7,,2344.7,2354.6,,62,62.1,,68.5,68.7,,55.6,55.7,,589.9,589800,,303.7,302.3,,286.1,287.5,,423.2,423.8,,245,245.3,,178.1,178.5,,166.7,166.1,,58.7,57,,108,109,,5,5,,4.8,4.7,,5.3,5.3,,5.1,5.1,,4.6,4.6,,6.1,6.1,,4.8,4.7,,5.6,5.3,,4.4,4.4,,11762,11786,,6392.5,6403.5,,5369.4,5382.6,,65.3,65.4,,72,72.1,,58.7,58.9,6238.2,2479.7,3758.6,18024.2,8883.1,9141.1
6/1/2011,,11205.8,11221.3,,6093.8,6098.1,,5112,5123.1,,7907.7,7869.8,,5120.4,5097,,2787.2,2772.8,,3298.1,3351.4,,973.4,1001.1,,2324.7,2350.3,,62.1,62.2,,68.5,68.6,,55.9,56,,579.5,564200,,300.3,292.6,,279.2,271.6,,411.5,406,,244.8,242.9,,166.7,163.1,,168,158.3,,55.5,49.7,,112.5,108.5,,4.9,4.8,,4.7,4.6,,5.2,5,,4.9,4.9,,4.6,4.5,,5.6,5.6,,4.8,4.5,,5.4,4.7,,4.6,4.4,,11785.3,11785.5,,6394.1,6390.7,,5391.2,5394.7,,65.3,65.3,,71.9,71.9,,58.9,58.9,6260.4,2503.5,3756.9,18045.9,8894.2,9151.7
7/1/2011,,11209.7,11225.7,,6092.2,6110.3,,5117.5,5115.4,,7884.5,7905.6,,5099.8,5112.8,,2784.7,2792.8,,3325.3,3320.2,,992.5,997.5,,2332.8,2322.7,,62,62.1,,68.4,68.6,,55.8,55.8,,601.1,562500,,315.1,295.4,,286,267.1,,421.8,399.3,,250.6,238.9,,171.2,160.4,,179.3,163.2,,64.5,56.5,,114.8,106.7,,5.1,4.8,,4.9,4.6,,5.3,5,,5.1,4.8,,4.7,4.5,,5.8,5.4,,5.1,4.7,,6.1,5.4,,4.7,4.4,,11810.9,11788.2,,6407.3,6405.7,,5403.6,5382.5,,65.4,65.2,,72,71.9,,59,58.7,6279.4,2497.6,3781.8,18067.6,8903.3,9164.3
8/1/2011,,11216.7,11127.2,,6094.8,6045.9,,5121.9,5081.3,,7886.7,7806.7,,5107.8,5067.5,,2778.9,2739.2,,3330.1,3320.5,,987,978.4,,2343.1,2342.1,,62,61.5,,68.4,67.8,,55.8,55.4,,622.2,596800,,335,322.1,,287.2,274.7,,446.4,422.1,,267,256.8,,179.4,165.3,,175.8,174.7,,68,65.3,,107.8,109.4,,5.3,5.1,,5.2,5.1,,5.3,5.1,,5.4,5.1,,5,4.8,,6.1,5.7,,5,5,,6.4,6.3,,4.4,4.5,,11839,11724,,6429.8,6368,,5409.2,5356,,65.4,64.8,,72.1,71.4,,58.9,58.4,6366.2,2545.1,3821.1,18090.2,8913.1,9177.1
9/1/2011,,11247.3,11315.9,,6106.8,6131.1,,5140.4,5184.8,,7897.2,8010,,5103.3,5147,,2793.9,2863,,3350.1,3306,,1003.5,984.1,,2346.6,2321.9,,62.1,62.5,,68.4,68.7,,55.9,56.4,,619.6,620100,,330.4,332,,289.2,288.2,,442.9,432.8,,264.2,259.5,,178.6,173.3,,176.8,187.3,,66.1,72.5,,110.6,114.9,,5.2,5.2,,5.1,5.1,,5.3,5.3,,5.3,5.1,,4.9,4.8,,6,5.7,,5,5.4,,6.2,6.9,,4.5,4.7,,11866.9,11936.1,,6437.2,6463,,5429.7,5473,,65.5,65.9,,72.1,72.4,,59.1,59.6,6176.7,2459.9,3716.8,18112.8,8922.9,9189.9
10/1/2011,,11249.1,11270.9,,6106.5,6114.8,,5142.6,5156.2,,7915.8,7888.2,,5126.3,5118.4,,2789.5,2769.8,,3333.3,3382.7,,980.2,996.4,,2353.1,2386.3,,62,62.1,,68.3,68.4,,55.9,56,,615.8,588600,,335.1,324.4,,280.7,264.2,,453.8,434.1,,269.2,261.2,,184.6,172.9,,162,154.5,,65.9,63.2,,96.1,91.2,,5.2,5,,5.2,5,,5.2,4.9,,5.4,5.2,,5,4.9,,6.2,5.9,,4.6,4.4,,6.3,6,,3.9,3.7,,11864.9,11859.5,,6441.6,6439.2,,5423.3,5420.3,,65.4,65.4,,72.1,72.1,,58.9,58.9,6280.7,2497.8,3782.9,18140.2,8937,9203.3
11/1/2011,,11252.3,11239.4,,6119.2,6106.1,,5133.1,5133.4,,7882.5,7905.9,,5102.9,5112.3,,2779.7,2793.6,,3369.8,3333.5,,1016.4,993.8,,2353.4,2339.7,,61.9,61.9,,68.4,68.2,,55.7,55.7,,620.8,578200,,328.8,308,,292,270.1,,443.1,418.4,,257.7,244.2,,185.4,174.2,,177.8,159.8,,71.1,63.9,,106.6,95.9,,5.2,4.9,,5.1,4.8,,5.4,5,,5.3,5,,4.8,4.6,,6.3,5.9,,5,4.6,,6.5,6,,4.3,3.9,,11873.1,11817.6,,6448,6414.1,,5425.1,5403.5,,65.4,65,,72,71.7,,58.9,58.6,6350.1,2536.9,3813.2,18167.6,8951,9216.7
12/1/2011,,11230.7,11355.8,,6124,6191.2,,5106.7,5164.6,,7915.4,8041.3,,5122.5,5194.8,,2792.8,2846.5,,3315.3,3314.4,,1001.5,996.4,,2313.8,2318,,61.7,62.4,,68.3,69.1,,55.3,56,,615.6,602000,,314.3,306.6,,301.4,295.5,,436.4,426.1,,246.9,236.5,,189.5,189.6,,179.2,175.9,,67.3,70,,111.9,105.9,,5.2,5,,4.9,4.7,,5.6,5.4,,5.2,5,,4.6,4.4,,6.4,6.2,,5.1,5,,6.3,6.6,,4.6,4.4,,11846.3,11957.8,,6438.3,6497.8,,5408,5460,,65.1,65.7,,71.8,72.5,,58.6,59.2,6237.3,2467.3,3770,18195.1,8965,9230.1
1/1/2012,,11305.5,11160.5,,6164.3,6105.3,,5141.1,5055.1,,7962.2,7922.5,,5165.5,5142.1,,2796.7,2780.4,,3343.3,3237.9,,998.8,963.2,,2344.5,2274.7,,62,61.2,,68.6,68,,55.6,54.7,,600.8,642300,,316.5,342.1,,284.3,300.2,,430.3,472.9,,253.9,276.9,,176.4,196,,170.5,169.4,,62.6,65.3,,107.9,104.2,,5,5.4,,4.9,5.3,,5.2,5.6,,5.1,5.6,,4.7,5.1,,5.9,6.6,,4.9,5,,5.9,6.3,,4.4,4.4,,11906.2,11802.8,,6480.8,6447.4,,5425.4,5355.3,,65.3,64.8,,72.2,71.8,,58.7,57.9,6424.6,2533.7,3891,18227.4,8981.1,9246.3
2/1/2012,,11271.8,11237.7,,6132.5,6123.5,,5139.3,5114.2,,7949,7987.7,,5145,5175.5,,2804,2812.2,,3322.9,3250.1,,987.5,948,,2335.3,2302,,61.7,61.5,,68.2,68.1,,55.5,55.2,,620.1,699600,,328.7,365,,291.4,334.6,,441.7,492.8,,262.9,291.1,,178.8,201.8,,178.4,206.8,,65.8,73.9,,112.6,132.9,,5.2,5.9,,5.1,5.6,,5.4,6.1,,5.3,5.8,,4.9,5.3,,6,6.7,,5.1,6,,6.2,7.2,,4.6,5.5,,11891.9,11937.3,,6461.2,6488.5,,5430.7,5448.8,,65.1,65.4,,71.8,72.1,,58.6,58.8,6322.4,2508.7,3813.7,18259.8,8997.2,9262.6
3/1/2012,,11333.3,11334.5,,6141.6,6144,,5191.7,5190.6,,7966.5,7937.9,,5149.9,5142,,2816.6,2795.9,,3366.8,3396.6,,991.7,1001.9,,2375.1,2394.6,,62,62,,68.1,68.2,,56,55.9,,619.2,659900,,327.1,342.8,,292.1,317.1,,439,455.9,,258.4,265.5,,180.6,190.3,,180.1,204,,68.7,77.3,,111.5,126.7,,5.2,5.5,,5.1,5.3,,5.3,5.8,,5.2,5.4,,4.8,4.9,,6,6.4,,5.1,5.7,,6.5,7.2,,4.5,5,,11952.5,11994.4,,6468.6,6486.8,,5483.8,5507.6,,65.3,65.6,,71.8,72,,59.1,59.4,6297.7,2526.5,3771.2,18292.1,9013.3,9278.8
4/1/2012,,11322.3,11331.6,,6155,6163.6,,5167.3,5168.1,,7945.8,7912.3,,5133.4,5122.1,,2812.3,2790.2,,3376.6,3419.4,,1021.6,1041.4,,2355,2377.9,,61.8,61.9,,68.2,68.3,,55.6,55.6,,594.9,599300,,316.8,313.6,,278.1,285.7,,422.1,422,,251,249.1,,171.1,172.9,,172.8,177.3,,65.8,64.5,,107,112.8,,5,5,,4.9,4.8,,5.1,5.2,,5,5.1,,4.7,4.6,,5.7,5.8,,4.9,4.9,,6.1,5.8,,4.3,4.5,,11917.2,11930.9,,6471.9,6477.2,,5445.4,5453.7,,65.1,65.1,,71.7,71.8,,58.6,58.7,6387,2549.4,3837.7,18317.9,9026.5,9291.4
5/1/2012,,11363.7,11393.2,,6164.1,6180.1,,5199.7,5213.1,,7987.8,7984.9,,5160.7,5154.6,,2827.1,2830.3,,3376,3408.3,,1003.4,1025.5,,2372.6,2382.8,,61.9,62.1,,68.2,68.4,,55.9,56,,623.7,620900,,322.5,318.1,,301.2,302.9,,431.6,430,,248.5,246.3,,183.1,183.7,,192.1,190.9,,73.9,71.7,,118.2,119.2,,5.2,5.2,,5,4.9,,5.5,5.5,,5.1,5.1,,4.6,4.6,,6.1,6.1,,5.4,5.3,,6.9,6.5,,4.7,4.8,,11987.4,12014.1,,6486.5,6498.1,,5500.9,5516,,65.3,65.5,,71.8,71.9,,59.1,59.3,6329.7,2541.7,3788,18343.8,9039.8,9304
6/1/2012,,11339,11356,,6163.1,6169.2,,5176,5186.8,,7959.7,7925.5,,5154.7,5132.6,,2805,2792.8,,3379.4,3430.6,,1008.4,1036.6,,2371,2394,,61.7,61.8,,68.1,68.1,,55.6,55.7,,617.4,599300,,317.3,306.8,,300.1,292.5,,429.1,422.9,,243.1,240.5,,186.1,182.4,,188.2,176.4,,74.2,66.3,,114.1,110.1,,5.2,5,,4.9,4.7,,5.5,5.3,,5.1,5.1,,4.5,4.5,,6.2,6.1,,5.3,4.9,,6.9,6,,4.6,4.4,,11956.4,11955.3,,6480.3,6476,,5476.1,5479.3,,65.1,65.1,,71.6,71.5,,58.8,58.8,6414.3,2577,3837.2,18369.6,9053,9316.6
7/1/2012,,11348.9,11368.8,,6150.2,6170.4,,5198.7,5198.4,,7966.8,7989.4,,5148.8,5161.9,,2818,2827.5,,3382,3379.3,,1001.4,1008.5,,2380.7,2370.9,,61.7,61.8,,67.8,68.1,,55.7,55.7,,619.6,583400,,332.2,314.3,,287.4,269.1,,447.8,425.7,,268.8,258.1,,179,167.6,,171.8,157.7,,63.4,56.2,,108.4,101.5,,5.2,4.9,,5.1,4.8,,5.2,4.9,,5.3,5.1,,5,4.8,,6,5.6,,4.8,4.5,,6,5.3,,4.4,4.1,,11968.5,11952.1,,6482.3,6484.7,,5486.1,5467.5,,65.1,65,,71.5,71.5,,58.8,58.6,6444.5,2581.9,3862.6,18396.6,9066.5,9330.1
8/1/2012,,11356.8,11264.1,,6158.8,6108.2,,5198.1,5155.9,,7980.2,7896.6,,5164.9,5122,,2815.3,2774.6,,3376.6,3367.5,,993.9,986.2,,2382.7,2381.3,,61.6,61.1,,67.8,67.3,,55.6,55.2,,615.8,590800,,339.8,327.8,,275.9,263,,467.3,442.8,,284.4,274.2,,182.9,168.6,,148.5,147.9,,55.5,53.6,,93,94.4,,5.1,5,,5.2,5.1,,5,4.9,,5.5,5.3,,5.2,5.1,,6.1,5.7,,4.2,4.2,,5.3,5.2,,3.8,3.8,,11972.6,11854.9,,6498.6,6436,,5474,5418.9,,65,64.3,,71.6,70.9,,58.6,58,6568.8,2644.1,3924.7,18423.7,9080.1,9343.6
9/1/2012,,11391.7,11457.6,,6159.9,6182.4,,5231.8,5275.2,,8025.1,8136.3,,5164.5,5206.9,,2860.6,2929.3,,3366.5,3321.3,,995.3,975.5,,2371.2,2345.8,,61.7,62.1,,67.7,68,,55.9,56.4,,661.5,661100,,370.8,371.5,,290.7,289.6,,485.2,474.5,,300.1,294.4,,185.1,180,,176.3,186.6,,70.7,77,,105.6,109.6,,5.5,5.5,,5.7,5.7,,5.3,5.2,,5.7,5.5,,5.5,5.4,,6.1,5.8,,5,5.3,,6.6,7.3,,4.3,4.5,,12053.2,12118.7,,6530.7,6553.9,,5522.6,5564.8,,65.3,65.7,,71.8,72.1,,59,59.5,6332,2539.7,3792.3,18450.7,9093.6,9357.1
10/1/2012,,11390.9,11406,,6186.5,6190.9,,5204.4,5215.1,,8037.2,8007.3,,5193.8,5183.7,,2843.4,2823.6,,3353.7,3398.6,,992.7,1007.2,,2361,2391.4,,61.7,61.7,,67.9,68,,55.5,55.7,,652.1,623600,,347.2,336,,304.9,287.7,,473.2,453.2,,284.3,275.8,,188.9,177.4,,178.9,170.4,,62.9,60.2,,116,110.2,,5.4,5.2,,5.3,5.1,,5.5,5.2,,5.6,5.4,,5.2,5.1,,6.2,5.9,,5.1,4.8,,6,5.6,,4.7,4.4,,12043,12029.6,,6533.8,6526.9,,5509.3,5502.7,,65.2,65.1,,71.8,71.7,,58.8,58.7,6446.5,2578.8,3867.7,18476.1,9105.7,9370.4
11/1/2012,,11384.7,11378.3,,6173,6162.8,,5211.8,5215.5,,8015.7,8042.2,,5182.4,5194.1,,2833.3,2848.2,,3369,3336.1,,990.6,968.7,,2378.4,2367.4,,61.5,61.5,,67.7,67.6,,55.5,55.6,,631.3,589200,,343.9,323.3,,287.4,265.8,,459.7,434.6,,274,260.4,,185.7,174.2,,171.6,154.6,,70,63,,101.7,91.6,,5.3,4.9,,5.3,5,,5.2,4.9,,5.4,5.1,,5,4.8,,6.2,5.8,,4.8,4.4,,6.6,6.1,,4.1,3.7,,12016.1,11967.5,,6516.9,6486.1,,5499.2,5481.4,,64.9,64.7,,71.5,71.1,,58.6,58.4,6533.9,2631.7,3902.2,18501.4,9117.8,9383.6
12/1/2012,,11395.5,11521.3,,6195,6262.3,,5200.5,5259,,8003.1,8132.3,,5181.1,5256.4,,2822,2876,,3392.3,3389,,1013.9,1005.9,,2378.5,2383,,61.5,62.2,,67.9,68.6,,55.3,56,,654.7,637800,,353.2,344.7,,301.5,293.1,,472.8,459.6,,282.2,270.5,,190.6,189,,182,178.2,,71,74.2,,110.9,104.1,,5.4,5.2,,5.4,5.2,,5.5,5.3,,5.6,5.3,,5.2,4.9,,6.3,6.2,,5.1,5,,6.5,6.9,,4.5,4.2,,12050.2,12159.2,,6548.2,6607,,5502,5552.1,,65,65.6,,71.7,72.4,,58.6,59.1,6367.6,2522.9,3844.7,18526.8,9129.9,9396.9
1/1/2013,,11464.3,11305.9,,6222.1,6152.2,,5242.2,5153.8,,8063.4,8000.5,,5209.7,5174.7,,2853.7,2825.7,,3400.9,3305.5,,1012.4,977.4,,2388.5,2328,,61.8,60.9,,68,67.3,,55.7,54.8,,652.6,696900,,356.4,383.9,,296.2,313,,464.8,508.9,,279.2,303.4,,185.6,205.5,,187.8,188,,77.2,80.5,,110.6,107.4,,5.4,5.8,,5.4,5.9,,5.3,5.7,,5.4,6,,5.1,5.5,,6.1,6.8,,5.2,5.4,,7.1,7.6,,4.4,4.4,,12117,12002.8,,6578.6,6536.1,,5538.4,5466.7,,65.3,64.7,,71.9,71.5,,58.8,58.1,6554.7,2608.4,3946.3,18557.6,9144.5,9413
2/1/2013,,11469.1,11425.3,,6211.7,6198.7,,5257.4,5226.6,,8010.4,8044.8,,5162.3,5191.9,,2848.1,2853,,3458.7,3380.5,,1049.4,1006.8,,2409.3,2373.7,,61.7,61.5,,67.8,67.7,,55.8,55.4,,658.2,741000,,355.9,395.1,,302.3,345.9,,468.3,521.8,,277.8,307.4,,190.5,214.4,,189.8,219.2,,78.1,87.7,,111.7,131.5,,5.4,6.1,,5.4,6,,5.4,6.2,,5.5,6.1,,5.1,5.6,,6.3,7,,5.2,6.1,,6.9,8,,4.4,5.2,,12127.3,12166.3,,6567.6,6593.8,,5559.7,5572.5,,65.2,65.5,,71.7,72,,59,59.1,6422,2565.3,3856.7,18588.3,9159.1,9429.3
3/1/2013,,11434.9,11437.3,,6187.2,6189.8,,5247.7,5247.5,,7992.7,7964.9,,5162.7,5155.3,,2830,2809.6,,3442.2,3472.4,,1024.5,1034.6,,2417.7,2437.9,,61.4,61.4,,67.4,67.5,,55.6,55.6,,682.7,726100,,374.7,391,,308,335,,496.6,515.9,,304.6,312.4,,192,203.4,,186.1,210.2,,70.1,78.6,,116,131.6,,5.6,6,,5.7,5.9,,5.5,6,,5.8,6.1,,5.6,5.7,,6.4,6.8,,5.1,5.7,,6.4,7.1,,4.6,5.1,,12117.6,12163.4,,6561.9,6580.9,,5555.7,5582.6,,65.1,65.3,,71.5,71.7,,58.8,59.1,6455.7,2592.8,3862.9,18619.1,9173.7,9445.5
4/1/2013,,11468.1,11481.1,,6201.7,6211.4,,5266.4,5269.7,,8024.1,7992.3,,5178.6,5167.2,,2845.5,2825.1,,3444,3488.8,,1023.1,1044.2,,2420.9,2444.6,,61.5,61.6,,67.5,67.6,,55.7,55.7,,678.2,682900,,366,362,,312.1,320.9,,496.4,496.5,,299.7,297.1,,196.8,199.5,,181.8,186.4,,66.4,64.9,,115.4,121.5,,5.6,5.6,,5.6,5.5,,5.6,5.7,,5.8,5.8,,5.5,5.4,,6.5,6.6,,5,5.1,,6.1,5.9,,4.5,4.7,,12146.2,12164,,6567.7,6573.4,,5578.5,5590.6,,65.2,65.2,,71.5,71.6,,59,59.1,6479.4,2612.2,3867.2,18643.4,9185.6,9457.8
5/1/2013,,11457.8,11491.7,,6210.9,6230.1,,5246.9,5261.5,,8005.4,8003.4,,5167.7,5162.6,,2837.7,2840.8,,3452.4,3488.3,,1043.2,1067.5,,2409.2,2420.8,,61.4,61.6,,67.5,67.7,,55.4,55.6,,681.4,676900,,369.7,363.5,,311.6,313.4,,506.8,503.7,,303.1,299.3,,203.7,204.4,,174.6,173.2,,66.6,64.2,,107.9,109,,5.6,5.6,,5.6,5.5,,5.6,5.6,,6,5.9,,5.5,5.5,,6.7,6.7,,4.8,4.7,,6,5.7,,4.3,4.3,,12139.2,12168.6,,6580.6,6593.6,,5558.6,5574.9,,65,65.2,,71.5,71.7,,58.7,58.9,6499.1,2603.9,3895.2,18667.7,9197.6,9470.1
6/1/2013,,11470.9,11492.5,,6214.9,6224.2,,5256,5268.3,,7994.2,7965.6,,5163.4,5143.8,,2830.8,2821.8,,3476.8,3526.9,,1051.5,1080.4,,2425.2,2446.5,,61.4,61.5,,67.5,67.6,,55.4,55.6,,692.8,673400,,378.9,367.6,,313.9,305.8,,514.1,506.1,,306.2,302.6,,208,203.4,,178.7,167.3,,72.7,65,,106,102.4,,5.7,5.5,,5.7,5.6,,5.6,5.5,,6,6,,5.6,5.6,,6.8,6.7,,4.9,4.5,,6.5,5.7,,4.2,4,,12163.8,12165.9,,6593.8,6591.8,,5570,5574,,65.1,65.1,,71.6,71.6,,58.7,58.8,6526,2617.7,3908.4,18691.9,9209.5,9482.4
7/1/2013,,11457.7,11480,,6197.5,6220.3,,5260.2,5259.7,,7991.7,8014.7,,5152.1,5165.7,,2839.6,2849,,3465.9,3465.3,,1045.4,1054.6,,2420.6,2410.7,,61.2,61.3,,67.2,67.5,,55.4,55.4,,683.3,647200,,373.5,356.5,,309.8,290.7,,506.2,483.9,,303.2,293.6,,203,190.3,,177,163.3,,70.3,63,,106.7,100.3,,5.6,5.3,,5.7,5.4,,5.6,5.2,,6,5.7,,5.6,5.4,,6.7,6.3,,4.9,4.5,,6.3,5.6,,4.2,4,,12140.9,12127.1,,6570.9,6576.8,,5570,5550.4,,64.9,64.8,,71.3,71.3,,58.7,58.4,6590.1,2644,3946.1,18717.3,9220.8,9496.5
8/1/2013,,11453.8,11361.4,,6195.2,6144.9,,5258.5,5216.5,,7999.8,7915.5,,5142.2,5098.4,,2857.6,2817.1,,3454,3445.9,,1053.1,1046.4,,2400.9,2399.5,,61.1,60.6,,67.1,66.6,,55.3,54.9,,707.9,681000,,386.2,373.5,,321.7,307.5,,515.1,488.9,,309.7,299.2,,205.4,189.7,,192.8,192.1,,76.6,74.3,,116.3,117.8,,5.8,5.7,,5.9,5.7,,5.8,5.6,,6,5.8,,5.7,5.5,,6.7,6.3,,5.3,5.3,,6.8,6.6,,4.6,4.7,,12161.7,12042.4,,6581.5,6518.4,,5580.2,5524,,64.9,64.3,,71.3,70.6,,58.7,58.1,6700.2,2713.7,3986.5,18742.6,9232.1,9510.5
9/1/2013,,11476.4,11539.3,,6204.3,6225.3,,5272.1,5314,,8005.4,8115.6,,5151.1,5194,,2854.3,2921.6,,3471,3423.7,,1053.3,1031.3,,2417.8,2392.4,,61.1,61.5,,67.1,67.3,,55.4,55.8,,694.4,693400,,376.9,377.1,,317.5,316.3,,510.6,498.9,,308.2,302.3,,202.4,196.6,,183.8,194.4,,68.8,74.8,,115,119.7,,5.7,5.7,,5.7,5.7,,5.7,5.6,,6,5.8,,5.6,5.5,,6.6,6.3,,5,5.4,,6.1,6.8,,4.5,4.8,,12170.8,12232.6,,6581.3,6602.4,,5589.5,5630.3,,64.8,65.2,,71.2,71.4,,58.7,59.1,6535.3,2641,3894.3,18767.9,9243.4,9524.5
10/1/2013,,11470.4,11482.6,,6194.8,6198.2,,5275.6,5284.3,,7963.4,7933.6,,5116.2,5105.8,,2847.2,2827.8,,3507,3549,,1078.6,1092.4,,2428.4,2456.6,,61.1,61.1,,67,67,,55.3,55.4,,710.1,680400,,392.1,381,,318,299.4,,528,506.9,,323,315.1,,204.9,191.8,,182.2,173.5,,69.1,65.9,,113.1,107.6,,5.8,5.6,,6,5.8,,5.7,5.4,,6.2,6,,5.9,5.8,,6.7,6.4,,4.9,4.7,,6,5.7,,4.4,4.2,,12180.5,12163,,6586.9,6579.2,,5593.6,5583.8,,64.8,64.7,,71.2,71.1,,58.7,58.6,6624,2671.3,3952.7,18787,9250.5,9536.4
11/1/2013,,11448.4,11445.9,,6187.1,6178.3,,5261.3,5267.6,,7953.9,7983.4,,5120.5,5134.6,,2833.4,2848.8,,3494.4,3462.5,,1066.5,1043.7,,2427.9,2418.8,,60.9,60.9,,66.8,66.7,,55.1,55.2,,704.2,657600,,388.5,365.8,,315.7,291.7,,515,487.1,,313.8,298.4,,201.2,188.7,,189.2,170.5,,74.7,67.4,,114.4,103,,5.8,5.4,,5.9,5.6,,5.7,5.2,,6.1,5.8,,5.8,5.5,,6.6,6.2,,5.1,4.7,,6.5,6.1,,4.5,4.1,,12152.5,12103.5,,6575.6,6544.1,,5576.9,5559.3,,64.6,64.4,,71,70.7,,58.4,58.2,6702.5,2713.4,3989.1,18806,9257.6,9548.4
12/1/2013,,11417.8,11537.6,,6172,6234.3,,5245.8,5303.3,,7906.8,8032.8,,5101.7,5174.7,,2805.2,2858.2,,3511,3504.8,,1070.4,1059.6,,2440.6,2445.1,,60.7,61.3,,66.6,67.3,,54.9,55.5,,716.1,694600,,397.4,386,,318.7,308.6,,527.5,510.5,,322.5,307.4,,205,203.2,,188.6,184.1,,74.9,78.6,,113.7,105.5,,5.9,5.7,,6,5.8,,5.7,5.5,,6.3,6,,5.9,5.6,,6.8,6.6,,5.1,5,,6.5,6.9,,4.5,4.1,,12134,12232.2,,6569.5,6620.3,,5564.5,5611.9,,64.5,65,,70.9,71.5,,58.2,58.7,6592.8,2644.4,3948.4,18825,9264.7,9560.3
